Step,Energy 1,Energy 2,Energy 3,Energy 5,Energy 10
-1,8921.691406,8921.691406,8921.691406,8921.691406,8921.691406
0,8921.691406,8921.691406,8921.691406,8921.691406,8921.691406
1,8921.592773,8920.080078,8921.691406,8921.691406,8921.691406
2,8921.592773,8920.080078,8919.792969,8921.691406,8919.950195
3,8920.023438,8920.080078,8919.792969,8921.691406,8919.550781
4,8920.023438,8920.080078,8919.792969,8921.548828,8917.771484
5,8920.023438,8920.080078,8919.792969,8920.061523,8917.771484
6,8920.023438,8920.080078,8919.792969,8918.644531,8917.771484
7,8920.023438,8920.080078,8919.792969,8918.644531,8917.771484
8,8918.842773,8920.080078,8919.792969,8918.316406,8917.541016
9,8918.842773,8920.080078,8919.792969,8916.553711,8917.541016
10,8918.842773,8920.080078,8919.349609,8916.553711,8917.541016
11,8918.842773,8920.080078,8918.689453,8916.553711,8917.541016
12,8918.842773,8920.080078,8918.689453,8916.553711,8917.338867
13,8918.842773,8920.080078,8917.566406,8916.435547,8917.338867
14,8918.842773,8920.080078,8916.353516,8916.435547,8916.586914
15,8918.842773,8919.076172,8916.353516,8915.236328,8914.119141
16,8918.842773,8918.954102,8914.841797,8914.733398,8914.119141
17,8918.842773,8918.954102,8914.841797,8913.902344,8914.119141
18,8918.842773,8918.954102,8914.841797,8913.902344,8913.916016
19,8918.842773,8918.954102,8914.71582,8913.902344,8913.916016
20,8918.842773,8918.216797,8914.71582,8913.902344,8913.916016
21,8918.842773,8916.557617,8913.34375,8911.472656,8913.916016
22,8918.842773,8916.557617,8912.959961,8911.472656,8913.916016
23,8918.842773,8916.557617,8912.959961,8911.472656,8913.916016
24,8918.842773,8915.856445,8912.959961,8911.472656,8913.916016
25,8918.842773,8915.612305,8912.959961,8911.472656,8913.916016
26,8918.842773,8915.612305,8912.959961,8911.472656,8913.916016
27,8918.842773,8915.612305,8909.265625,8911.472656,8913.916016
28,8918.842773,8914.749023,8909.265625,8911.472656,8909.921875
29,8918.842773,8913.080078,8909.265625,8911.472656,8909.921875
30,8918.484375,8913.080078,8909.265625,8908.970703,8909.921875
31,8917.768555,8913.080078,8909.265625,8908.970703,8909.921875
32,8917.768555,8913.080078,8909.265625,8908.970703,8909.921875
33,8917.103516,8912.037109,8909.265625,8908.970703,8909.921875
34,8917.103516,8912.037109,8909.265625,8908.970703,8909.921875
35,8917.103516,8912.037109,8909.265625,8908.970703,8909.921875
36,8917.103516,8912.037109,8909.265625,8908.970703,8905.446289
37,8917.103516,8912.037109,8909.265625,8908.970703,8904.72168
