Step,Energy 1,Energy 2,Energy 3,Energy 5,Energy 10
-1,8928.913086,8928.913086,8928.913086,8928.913086,8928.913086
0,8928.913086,8928.913086,8928.913086,8928.913086,8928.913086
1,8928.913086,8928.913086,8928.913086,8928.913086,8928.913086
2,8928.913086,8928.913086,8928.608398,8928.913086,8928.913086
3,8928.913086,8928.913086,8928.608398,8928.913086,8928.913086
4,8928.913086,8928.913086,8928.587891,8928.913086,8920.021484
5,8928.913086,8928.913086,8928.587891,8928.913086,8920.021484
6,8928.913086,8928.414063,8928.587891,8928.913086,8920.021484
7,8928.913086,8928.414063,8928.587891,8928.913086,8920.021484
8,8928.569336,8928.414063,8928.587891,8923.155273,8920.021484
9,8928.569336,8928.414063,8928.587891,8923.155273,8920.021484
10,8928.569336,8928.414063,8928.587891,8923.155273,8920.021484
11,8928.569336,8928.414063,8927.587891,8923.155273,8920.021484
12,8928.569336,8928.414063,8927.587891,8923.155273,8920.021484
13,8928.474609,8928.414063,8926.769531,8923.155273,8920.021484
14,8928.474609,8928.178711,8924.441406,8923.155273,8920.021484
15,8928.474609,8928.178711,8924.441406,8923.155273,8920.021484
16,8928.474609,8927.392578,8924.441406,8921.799805,8920.021484
17,8928.474609,8927.392578,8924.441406,8921.799805,8920.021484
18,8928.474609,8927.392578,8924.441406,8921.799805,8920.021484
19,8928.474609,8927.392578,8924.441406,8921.296875,8920.021484
20,8928.474609,8925.108398,8924.441406,8921.296875,8920.021484
21,8928.474609,8924.973633,8924.441406,8921.296875,8920.021484
22,8928.389648,8923.911133,8924.441406,8918.1875,8920.021484
23,8928.389648,8923.794922,8924.441406,8918.1875,8920.021484
24,8928.28418,8922.861328,8924.441406,8918.1875,8920.021484
25,8928.28418,8922.861328,8924.441406,8918.1875,8920.021484
26,8928.28418,8922.861328,8924.441406,8918.1875,8920.021484
27,8928.28418,8922.861328,8923.849609,8918.1875,8920.021484
28,8928.28418,8922.861328,8923.849609,8918.1875,8920.021484
29,8926.670898,8922.861328,8922.132813,8918.1875,8920.021484
30,8926.670898,8922.861328,8922.132813,8918.1875,8920.021484
31,8926.670898,8922.861328,8920.981445,8918.1875,8920.021484
32,8926.670898,8922.861328,8920.981445,8918.1875,8920.021484
33,8926.359375,8922.861328,8920.845703,8918.1875,8920.021484
34,8926.359375,8922.606445,8920.845703,8918.1875,8920.021484
35,8926.359375,8922.606445,8920.845703,8918.078125,8920.021484
36,8926.359375,8922.606445,8919.335938,8918.078125,8920.021484
37,8926.359375,8922.606445,8919.335938,8918.078125,8920.021484
38,8926.359375,8920.132813,8914.307617,8918.078125,8920.021484
39,8926.359375,8920.132813,8914.307617,8918.078125,8920.021484
40,8926.196289,8918.150391,8914.307617,8918.078125,8920.021484
41,8923.762695,8918.150391,8914.307617,8916.707031,8920.021484
42,8923.762695,8918.150391,8914.307617,8916.707031,8920.021484
43,8923.762695,8918.150391,8914.307617,8915.692383,8920.021484
44,8923.762695,8918.150391,8914.307617,8915.692383,8920.021484
45,8923.762695,8918.150391,8914.307617,8915.692383,8920.021484
46,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
47,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
48,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
49,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
50,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
51,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
52,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
53,8923.762695,8916.894531,8914.307617,8912.430664,8920.021484
54,8923.762695,8915.9375,8914.307617,8912.430664,8920.021484
55,8923.762695,8915.9375,8914.307617,8912.430664,8920.021484
56,8923.762695,8915.9375,8914.307617,8912.430664,8920.021484
57,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
58,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
59,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
60,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
61,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
62,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
63,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
64,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
65,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
66,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
67,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
68,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
69,8923.762695,8910.613281,8914.307617,8912.430664,8920.021484
70,8923.762695,8910.613281,8914.307617,8911.394531,8920.021484
71,8923.762695,8910.613281,8914.307617,8911.394531,8920.021484
72,8923.762695,8910.613281,8914.307617,8910.847656,8920.021484
73,8923.762695,8910.613281,8914.307617,8909.132813,8920.021484
74,8923.762695,8910.613281,8914.307617,8909.132813,8920.021484
75,8923.762695,8910.613281,8914.307617,8909.081055,8920.021484
76,8923.762695,8910.613281,8914.307617,8909.081055,8920.021484
77,8923.762695,8910.613281,8914.307617,8908.720703,8920.021484
78,8923.762695,8910.613281,8914.307617,8908.720703,8920.021484
79,8923.762695,8910.613281,8914.307617,8906.767578,8920.021484
80,8923.573242,8910.613281,8914.307617,8906.767578,8920.021484
81,8921.689453,8910.613281,8914.307617,8906.767578,8920.021484
82,8921.689453,8910.613281,8914.307617,8905.490234,8920.021484
83,8921.689453,8910.613281,8914.307617,8905.490234,8920.021484
84,8921.686523,8910.613281,8914.307617,8905.490234,8920.021484
85,8921.537109,8910.613281,8914.307617,8902.000977,8920.021484
86,8921.537109,8910.613281,8914.307617,8902.000977,8920.021484
87,8919.101563,8910.613281,8914.307617,8902.000977,8920.021484
88,8919.101563,8910.613281,8914.307617,8902.000977,8920.021484
89,8919.101563,8910.613281,8914.307617,8902.000977,8920.021484
90,8919.101563,8910.613281,8914.307617,8902.000977,8920.021484
91,8919.101563,8910.613281,8914.307617,8902.000977,8920.021484
92,8919.101563,8910.613281,8914.307617,8902.000977,8920.021484
93,8918.011719,8910.613281,8914.307617,8902.000977,8920.021484
94,8918.011719,8910.613281,8914.307617,8902.000977,8920.021484
95,8917.427734,8910.613281,8914.307617,8902.000977,8920.021484
96,8917.427734,8910.613281,8914.307617,8902.000977,8920.021484
97,8917.427734,8910.613281,8914.307617,8902.000977,8920.021484
98,8917.314453,8910.613281,8914.307617,8902.000977,8920.021484
99,8916.988281,8910.613281,8914.307617,8902.000977,8920.021484
100,8916.839844,8910.613281,8914.307617,8902.000977,8920.021484
101,8916.839844,8910.613281,8914.307617,8902.000977,8920.021484
102,8916.839844,8910.613281,8914.307617,8902.000977,8920.021484
103,8916.839844,8910.613281,8914.307617,8902.000977,8920.021484
104,8916.256836,8910.613281,8914.307617,8902.000977,8920.021484
105,8916.256836,8910.613281,8914.307617,8902.000977,8920.021484
106,8916.256836,8910.613281,8914.307617,8902.000977,8920.021484
107,8916.256836,8910.613281,8914.307617,8902.000977,8920.021484
108,8915.920898,8910.613281,8914.307617,8902.000977,8920.021484
109,8914.995117,8910.613281,8914.307617,8902.000977,8920.021484
110,8914.995117,8910.613281,8914.307617,8902.000977,8920.021484
111,8914.995117,8910.613281,8914.307617,8902.000977,8920.021484
112,8914.995117,8910.613281,8914.307617,8902.000977,8920.021484
113,8914.995117,8910.613281,8914.307617,8902.000977,8920.021484
114,8914.453125,8910.613281,8914.307617,8902.000977,8920.021484
115,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
116,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
117,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
118,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
119,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
120,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
121,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
122,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
123,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
124,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
125,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
126,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
127,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
128,8910.500977,8910.613281,8914.307617,8902.000977,8920.021484
129,8910.500977,8910.613281,8914.307617,8899.938477,8920.021484
130,8910.500977,8910.613281,8914.307617,8899.938477,8920.021484
131,8910.500977,8910.613281,8914.307617,8896.552734,8920.021484
132,8910.500977,8910.613281,8914.307617,8896.552734,8920.021484
133,8910.500977,8910.613281,8914.307617,8896.552734,8920.021484
134,8910.500977,8910.613281,8914.307617,8896.552734,8920.021484
135,8910.500977,8910.613281,8914.307617,8893.855469,8920.021484
136,8910.500977,8910.613281,8914.307617,8893.855469,8920.021484
137,8910.500977,8910.613281,8914.307617,8893.855469,8920.021484
138,8910.500977,8910.613281,8914.307617,8893.855469,8920.021484
139,8910.500977,8910.613281,8914.307617,8893.855469,8920.021484
140,8910.500977,8910.613281,8914.307617,8893.855469,8920.021484
141,8910.500977,8910.613281,8914.307617,8893.855469,8920.021484
142,8910.500977,8910.613281,8913.047852,8893.855469,8920.021484
143,8910.500977,8910.613281,8913.047852,8893.855469,8920.021484
144,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
145,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
146,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
147,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
148,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
149,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
150,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
151,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
152,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
153,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
154,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
155,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
156,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
157,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
158,8910.500977,8910.613281,8910.27832,8893.855469,8920.021484
159,8910.500977,8910.613281,8910.27832,8893.701172,8920.021484
160,8910.500977,8910.613281,8910.27832,8893.701172,8920.021484
161,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
162,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
163,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
164,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
165,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
166,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
167,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
168,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
169,8910.500977,8910.613281,8910.27832,8893.579102,8920.021484
170,8910.500977,8910.613281,8910.095703,8893.579102,8920.021484
171,8910.500977,8910.613281,8910.095703,8893.579102,8920.021484
172,8910.500977,8910.613281,8910.095703,8890.367188,8920.021484
173,8910.500977,8910.613281,8910.095703,8890.367188,8920.021484
174,8910.500977,8910.613281,8910.095703,8890.367188,8920.021484
175,8910.500977,8910.613281,8908.69043,8890.367188,8920.021484
176,8910.500977,8910.613281,8908.69043,8890.367188,8920.021484
177,8910.500977,8910.613281,8908.69043,8890.367188,8920.021484
178,8910.500977,8910.613281,8908.69043,8890.367188,8920.021484
179,8910.500977,8910.613281,8908.69043,8890.367188,8920.021484
180,8910.500977,8910.613281,8908.69043,8890.367188,8920.021484
181,8910.500977,8910.613281,8908.69043,8890.367188,8920.021484
182,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
183,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
184,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
185,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
186,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
187,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
188,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
189,8910.500977,8910.613281,8907.125977,8890.367188,8920.021484
190,8910.500977,8910.613281,8906.286133,8890.367188,8920.021484
191,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
192,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
193,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
194,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
195,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
196,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
197,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
198,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
199,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
200,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
201,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
202,8910.500977,8910.613281,8902.380859,8890.367188,8920.021484
203,8910.500977,8910.613281,8902.380859,8890.367188,8920.006836
204,8910.500977,8910.613281,8902.380859,8890.367188,8917.125977
205,8910.500977,8910.613281,8902.380859,8890.367188,8917.125977
206,8910.500977,8910.613281,8902.380859,8890.367188,8917.125977
207,8910.500977,8910.613281,8902.380859,8890.367188,8917.125977
208,8910.500977,8910.613281,8902.380859,8890.367188,8914.118164
209,8910.500977,8910.613281,8902.380859,8890.367188,8914.118164
210,8910.500977,8910.613281,8902.380859,8890.367188,8913.056641
211,8910.500977,8910.613281,8902.380859,8890.367188,8913.056641
212,8910.500977,8910.613281,8902.380859,8890.367188,8913.056641
213,8910.500977,8910.613281,8902.380859,8890.367188,8910.920898
214,8910.500977,8910.613281,8902.380859,8890.367188,8910.920898
215,8910.500977,8910.613281,8902.380859,8890.296875,8910.920898
216,8910.500977,8910.613281,8902.380859,8889.764648,8910.920898
217,8910.500977,8910.613281,8902.380859,8887.540039,8910.920898
218,8910.500977,8910.613281,8902.380859,8887.540039,8910.920898
219,8910.500977,8910.613281,8902.380859,8887.540039,8910.850586
220,8910.500977,8910.613281,8902.380859,8887.540039,8908.52832
221,8910.500977,8910.613281,8902.380859,8887.540039,8907.800781
222,8910.500977,8910.613281,8902.380859,8887.540039,8907.333984
223,8910.500977,8910.613281,8902.380859,8887.540039,8907.333984
224,8910.500977,8910.613281,8902.380859,8887.540039,8904.367188
225,8910.500977,8910.613281,8902.380859,8887.540039,8904.367188
226,8910.500977,8910.613281,8900.571289,8887.540039,8901.521484
227,8910.500977,8910.613281,8900.571289,8887.540039,8901.521484
228,8910.500977,8910.613281,8900.571289,8887.540039,8901.521484
229,8910.500977,8910.613281,8900.244141,8887.540039,8901.521484
230,8910.500977,8910.613281,8899.506836,8887.540039,8901.521484
231,8910.500977,8910.613281,8899.506836,8887.540039,8901.521484
232,8910.500977,8910.613281,8899.506836,8887.540039,8901.521484
233,8910.500977,8910.613281,8899.506836,8887.540039,8901.521484
234,8910.500977,8910.613281,8899.506836,8887.540039,8901.521484
235,8910.500977,8910.613281,8899.506836,8887.540039,8901.521484
236,8910.500977,8910.613281,8899.506836,8887.540039,8901.521484
237,8910.500977,8910.613281,8899.506836,8887.147461,8901.521484
238,8910.500977,8910.613281,8899.506836,8886.348633,8901.521484
239,8910.500977,8910.613281,8899.506836,8886.348633,8901.521484
240,8910.500977,8910.613281,8899.506836,8886.348633,8901.521484
241,8910.500977,8910.613281,8899.506836,8884.44043,8901.521484
242,8910.500977,8910.613281,8898.576172,8884.44043,8901.521484
243,8910.500977,8910.613281,8898.576172,8884.44043,8901.521484
244,8910.500977,8910.613281,8898.576172,8884.44043,8901.521484
245,8910.500977,8910.613281,8898.576172,8884.44043,8901.521484
246,8910.500977,8910.613281,8898.576172,8884.44043,8901.521484
247,8910.500977,8910.613281,8898.576172,8884.44043,8901.521484
248,8910.500977,8910.613281,8898.576172,8884.44043,8901.521484
249,8910.500977,8910.613281,8898.576172,8884.276367,8901.521484
250,8910.500977,8910.613281,8898.576172,8884.276367,8901.521484
251,8910.500977,8910.613281,8898.576172,8884.276367,8901.521484
252,8910.500977,8910.613281,8898.576172,8884.276367,8901.521484
253,8910.500977,8910.613281,8898.576172,8883.228516,8900.816406
254,8910.500977,8910.613281,8897.196289,8883.228516,8900.816406
255,8910.500977,8910.613281,8897.196289,8883.228516,8897.210938
256,8910.500977,8910.613281,8897.196289,8883.228516,8893.876953
257,8910.500977,8910.613281,8897.196289,8883.228516,8893.876953
258,8910.500977,8910.613281,8897.196289,8882.697266,8893.876953
259,8910.500977,8910.613281,8897.196289,8882.697266,8893.876953
260,8910.500977,8910.613281,8897.196289,8882.697266,8893.876953
261,8910.500977,8910.613281,8897.196289,8882.697266,8891.416016
262,8910.500977,8910.613281,8896.088867,8882.697266,8891.416016
263,8910.500977,8910.613281,8896.088867,8882.697266,8891.416016
264,8910.500977,8910.613281,8895.989258,8882.697266,8891.416016
265,8910.500977,8910.613281,8895.989258,8882.697266,8891.416016
266,8910.500977,8910.613281,8889.53125,8882.366211,8891.416016
267,8910.500977,8910.613281,8889.53125,8882.366211,8889.452148
268,8910.500977,8910.613281,8889.53125,8882.366211,8889.452148
269,8910.500977,8910.613281,8889.53125,8882.366211,8889.452148
270,8910.500977,8910.613281,8889.53125,8882.366211,8889.452148
271,8910.500977,8910.613281,8889.53125,8882.366211,8889.452148
272,8910.500977,8910.613281,8889.53125,8881.835938,8889.452148
273,8910.500977,8910.613281,8889.53125,8881.835938,8889.452148
274,8910.500977,8910.613281,8889.53125,8881.835938,8889.452148
275,8910.500977,8910.613281,8889.53125,8881.464844,8889.452148
276,8910.500977,8910.613281,8889.53125,8877.165039,8889.452148
277,8910.500977,8910.613281,8889.53125,8877.165039,8888.847656
278,8910.500977,8910.613281,8889.53125,8877.165039,8888.847656
279,8910.500977,8910.613281,8889.53125,8877.165039,8888.847656
280,8910.500977,8910.613281,8889.53125,8877.165039,8888.847656
281,8910.500977,8910.613281,8889.53125,8877.165039,8888.847656
282,8910.500977,8910.613281,8889.53125,8877.165039,8888.847656
283,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
284,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
285,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
286,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
287,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
288,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
289,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
290,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
291,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
292,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
293,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
294,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
295,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
296,8910.500977,8910.613281,8889.53125,8877.165039,8886.789063
297,8910.500977,8910.613281,8889.53125,8877.165039,8885.283203
298,8910.500977,8910.613281,8889.53125,8877.165039,8885.283203
299,8910.500977,8910.613281,8889.53125,8877.165039,8885.283203
300,8910.500977,8910.613281,8889.53125,8877.165039,8885.283203
301,8910.500977,8910.613281,8889.53125,8877.165039,8885.283203
302,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
303,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
304,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
305,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
306,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
307,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
308,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
309,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
310,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
311,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
312,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
313,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
314,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
315,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
316,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
317,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
318,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
319,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
320,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
321,8910.500977,8910.613281,8889.53125,8877.165039,8880.27832
322,8910.500977,8910.613281,8889.53125,8877.165039,8879.319336
323,8910.500977,8910.613281,8889.53125,8877.165039,8879.319336
324,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
325,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
326,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
327,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
328,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
329,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
330,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
331,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
332,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
333,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
334,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
335,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
336,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
337,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
338,8910.500977,8910.613281,8889.53125,8877.165039,8877.266602
339,8910.500977,8910.474609,8889.53125,8877.165039,8877.266602
340,8910.500977,8909.78125,8889.53125,8877.165039,8877.266602
341,8910.500977,8909.78125,8889.53125,8877.165039,8877.266602
342,8910.500977,8909.78125,8889.53125,8877.165039,8877.266602
343,8910.500977,8909.78125,8889.53125,8877.165039,8876.915039
