"Step","Energy"
"-1","8916.544922"
"0","8916.544922"
"1","8916.544922"
"2","8913.865234"
"3","8913.865234"
"4","8913.865234"
"5","8913.865234"
"6","8913.865234"
"7","8913.435547"
"8","8913.435547"
"9","8913.435547"
"10","8913.257813"
"11","8913.257813"
"12","8913.257813"
"13","8913.257813"
"14","8913.257813"
"15","8911.227539"
"16","8911.227539"
"17","8911.227539"
"18","8911.227539"
"19","8911.227539"
"20","8911.143555"
"21","8910.880859"
"22","8910.880859"
"23","8910.880859"
"24","8910.880859"
"25","8910.880859"
"26","8910.880859"
"27","8910.880859"
"28","8910.880859"
"29","8910.474609"
"30","8910.474609"
"31","8910.474609"
"32","8910.474609"
"33","8908.669922"
"34","8908.669922"
"35","8908.669922"
"36","8908.669922"
"37","8908.669922"
"38","8908.669922"
"39","8908.669922"
"40","8908.669922"
"41","8908.669922"
"42","8907.759766"
"43","8907.759766"
"44","8907.759766"
"45","8907.759766"
"46","8907.759766"
"47","8907.759766"
"48","8907.759766"
"49","8906.669922"
"50","8906.669922"
"51","8906.669922"
"52","8906.669922"
"53","8906.669922"
"54","8906.669922"
"55","8906.669922"
"56","8906.669922"
"57","8906.669922"
"58","8906.669922"
"59","8906.669922"
"60","8906.669922"
"61","8906.669922"
"62","8906.669922"
"63","8906.669922"
"64","8906.669922"
"65","8906.669922"
"66","8906.669922"
"67","8906.669922"
"68","8906.669922"
"69","8906.669922"
"70","8906.453125"
"71","8905.932617"
"72","8905.932617"
"73","8905.932617"
"74","8905.932617"
"75","8905.932617"
"76","8905.932617"
"77","8905.084961"
"78","8904.658203"
"79","8904.658203"
"80","8904.217773"
"81","8903.884766"
"82","8903.884766"
"83","8903.884766"
"84","8903.061523"
"85","8903.061523"
"86","8903.061523"
"87","8903.061523"
"88","8903.061523"
"89","8903.061523"
"90","8903.061523"
"91","8902.757813"
"92","8902.757813"
"93","8902.757813"
"94","8901.867188"
"95","8901.867188"
"96","8901.867188"
"97","8901.867188"
"98","8901.867188"
"99","8901.867188"
"100","8901.867188"
"101","8901.833984"
"102","8901.833984"
"103","8901.067383"
"104","8901.067383"
"105","8901.067383"
"106","8901.067383"
"107","8899.900391"
"108","8899.900391"
"109","8899.900391"
"110","8899.900391"
"111","8899.900391"
"112","8899.900391"
"113","8899.900391"
"114","8899.900391"
"115","8899.900391"
"116","8899.900391"
"117","8899.900391"
"118","8898.794922"
"119","8898.794922"
"120","8898.794922"
"121","8898.794922"
"122","8898.794922"
"123","8898.209961"
"124","8898.209961"
"125","8898.209961"
"126","8896.969727"
"127","8896.969727"
"128","8896.969727"
"129","8896.969727"
"130","8896.969727"
"131","8896.969727"
"132","8896.463867"
"133","8896.463867"
"134","8896.463867"
"135","8894.583984"
"136","8894.583984"
"137","8894.583984"
"138","8894.583984"
"139","8894.583984"
"140","8894.583984"
"141","8894.583984"
"142","8894.583984"
"143","8894.583984"
"144","8894.583984"
"145","8894.529297"
"146","8894.290039"
"147","8894.290039"
"148","8894.290039"
"149","8894.290039"
"150","8893.811523"
"151","8893.496094"
"152","8893.496094"
"153","8893.121094"
"154","8893.121094"
"155","8889.746094"
"156","8889.746094"
"157","8889.746094"
"158","8889.746094"
"159","8889.746094"
"160","8889.746094"
"161","8889.746094"
"162","8889.746094"
"163","8889.746094"
"164","8889.746094"
"165","8889.746094"
"166","8889.746094"
"167","8889.746094"
"168","8889.746094"
"169","8889.746094"
"170","8889.746094"
"171","8889.746094"
"172","8889.746094"
"173","8889.746094"
"174","8889.746094"
"175","8889.746094"
"176","8889.746094"
"177","8889.746094"
"178","8889.746094"
"179","8889.746094"
"180","8889.746094"
"181","8889.746094"
"182","8889.746094"
"183","8889.746094"
"184","8889.746094"
"185","8889.746094"
"186","8889.746094"
"187","8889.746094"
"188","8889.746094"
"189","8889.746094"
"190","8889.746094"
"191","8889.746094"
"192","8889.746094"
"193","8889.746094"
"194","8889.746094"
"195","8889.746094"
"196","8889.746094"
"197","8889.746094"
"198","8889.746094"
"199","8889.746094"
"200","8889.746094"
"201","8889.746094"
"202","8889.746094"
"203","8889.746094"
"204","8889.746094"
"205","8889.746094"
"206","8889.746094"
"207","8889.746094"
"208","8889.746094"
"209","8889.746094"
"210","8889.746094"
"211","8889.746094"
"212","8889.746094"
"213","8889.746094"
"214","8889.746094"
"215","8889.746094"
"216","8889.746094"
"217","8889.746094"
"218","8889.746094"
"219","8889.746094"
"220","8889.746094"
"221","8889.746094"
"222","8889.746094"
"223","8889.746094"
"224","8889.746094"
"225","8889.746094"
"226","8889.746094"
"227","8889.746094"
"228","8889.746094"
"229","8889.746094"
"230","8889.746094"
"231","8889.746094"
"232","8889.746094"
"233","8889.746094"
"234","8889.746094"
"235","8889.746094"
"236","8889.746094"
"237","8889.746094"
"238","8889.746094"
"239","8889.746094"
"240","8889.746094"
"241","8889.746094"
"242","8889.746094"
"243","8889.746094"
"244","8889.746094"
"245","8889.746094"
"246","8889.746094"
"247","8889.746094"
"248","8889.746094"
"249","8889.746094"
"250","8889.746094"
"251","8889.746094"
"252","8889.746094"
"253","8889.746094"
"254","8889.746094"
"255","8889.746094"
"256","8889.746094"
"257","8889.746094"
"258","8889.746094"
"259","8889.746094"
"260","8889.746094"
"261","8889.746094"
"262","8889.746094"
"263","8889.746094"
"264","8889.746094"
"265","8889.746094"
"266","8889.746094"
"267","8889.746094"
"268","8889.746094"
"269","8889.746094"
"270","8889.746094"
"271","8889.746094"
"272","8889.746094"
"273","8889.746094"
"274","8889.746094"
"275","8889.746094"
"276","8889.746094"
"277","8889.746094"
"278","8889.746094"
"279","8889.746094"
"280","8889.746094"
"281","8889.746094"
"282","8889.746094"
"283","8889.746094"
"284","8889.746094"
"285","8889.746094"
"286","8889.608398"
"287","8889.158203"
"288","8888.329102"
"289","8888.329102"
"290","8886.048828"
"291","8886.048828"
"292","8886.048828"
"293","8886.048828"
"294","8886.048828"
"295","8886.048828"
"296","8886.048828"
"297","8885.999023"
"298","8885.966797"
"299","8885.966797"
"300","8885.633789"
"301","8885.633789"
"302","8885.633789"
"303","8885.633789"
"304","8885.633789"
"305","8885.420898"
"306","8885.420898"
"307","8884.611328"
"308","8884.611328"
"309","8884.611328"
"310","8884.611328"
"311","8883.417969"
"312","8883.417969"
"313","8883.417969"
"314","8883.417969"
"315","8883.417969"
"316","8883.006836"
"317","8883.006836"
"318","8881.666016"
"319","8881.666016"
"320","8880.669922"
"321","8880.669922"
"322","8880.669922"
"323","8880.669922"
"324","8880.669922"
"325","8880.669922"
"326","8880.669922"
"327","8880.669922"
"328","8880.669922"
"329","8880.669922"
"330","8880.669922"
"331","8880.669922"
"332","8880.669922"
"333","8880.669922"
"334","8880.669922"
"335","8880.669922"
"336","8880.669922"
"337","8880.247070"
"338","8879.939453"
"339","8879.939453"
"340","8879.939453"
"341","8879.939453"
"342","8879.939453"
"343","8879.939453"
"344","8879.939453"
"345","8879.250000"
"346","8879.250000"
"347","8879.250000"
"348","8879.250000"
"349","8878.784180"
"350","8878.784180"
"351","8878.784180"
"352","8878.784180"
"353","8878.784180"
"354","8878.784180"
"355","8878.717773"
"356","8878.717773"
"357","8878.717773"
"358","8878.717773"
"359","8878.717773"
"360","8878.717773"
"361","8878.717773"
"362","8878.717773"
"363","8878.717773"
"364","8878.717773"
"365","8878.717773"
"366","8878.717773"
"367","8878.717773"
"368","8878.717773"
"369","8878.717773"
"370","8878.717773"
"371","8878.217773"
"372","8878.217773"
"373","8878.217773"
"374","8877.667969"
"375","8877.667969"
"376","8877.667969"
"377","8877.667969"
"378","8877.163086"
"379","8877.135742"
"380","8877.135742"
"381","8877.053711"
"382","8877.053711"
"383","8876.509766"
"384","8876.279297"
"385","8876.279297"
"386","8876.279297"
"387","8876.279297"
"388","8876.279297"
"389","8875.900391"
"390","8875.409180"
"391","8875.263672"
"392","8874.583008"
"393","8874.583008"
"394","8874.179688"
"395","8874.179688"
"396","8874.179688"
"397","8874.179688"
"398","8874.179688"
"399","8874.179688"
"400","8874.179688"
"401","8874.179688"
"402","8874.179688"
"403","8874.179688"
"404","8874.179688"
"405","8874.179688"
"406","8872.930664"
"407","8872.930664"
"408","8872.930664"
"409","8872.930664"
"410","8872.371094"
"411","8872.371094"
"412","8872.371094"
"413","8872.371094"
"414","8870.756836"
"415","8870.756836"
"416","8870.756836"
"417","8870.756836"
"418","8870.756836"
"419","8870.756836"
"420","8870.756836"
"421","8870.756836"
"422","8870.756836"
"423","8870.756836"
"424","8870.756836"
"425","8870.756836"
"426","8870.756836"
"427","8870.756836"
"428","8870.756836"
"429","8870.756836"
"430","8870.756836"
"431","8870.756836"
"432","8870.756836"
"433","8870.756836"
"434","8870.756836"
"435","8870.756836"
"436","8870.756836"
"437","8870.756836"
"438","8870.756836"
"439","8870.756836"
"440","8870.756836"
"441","8870.756836"
"442","8870.756836"
"443","8870.756836"
"444","8870.756836"
"445","8870.756836"
"446","8870.756836"
"447","8870.756836"
"448","8870.756836"
"449","8870.756836"
"450","8870.756836"
"451","8870.756836"
"452","8870.756836"
"453","8870.756836"
"454","8870.756836"
"455","8870.756836"
"456","8870.756836"
"457","8870.756836"
"458","8870.756836"
"459","8870.756836"
"460","8870.239258"
"461","8870.239258"
"462","8870.239258"
"463","8870.239258"
"464","8870.239258"
"465","8870.239258"
"466","8870.239258"
"467","8870.239258"
"468","8870.239258"
"469","8870.239258"
"470","8870.239258"
"471","8870.239258"
"472","8870.058594"
"473","8870.058594"
"474","8868.121094"
"475","8868.121094"
"476","8868.121094"
"477","8868.121094"
