"Step","Energy","Temperature"
"-1","8916.544922","0.000000"
"0","8916.544922","0.000000"
"1","8916.544922","0.000000"
"2","8922.933594","0.000000"
"3","8922.933594","0.000000"
"4","8922.933594","0.000000"
"5","8922.933594","0.000000"
"6","8922.933594","0.000000"
"7","8922.933594","0.000000"
"8","8922.933594","0.000000"
"9","8922.933594","0.000000"
"10","8922.933594","0.000000"
"11","8922.933594","0.000000"
"12","8922.933594","0.000000"
"13","8922.933594","0.000000"
"14","8922.933594","0.000000"
"15","8922.933594","0.000000"
"16","8922.933594","0.000000"
"17","8922.933594","0.000000"
"18","8922.933594","0.000000"
"19","8922.933594","0.000000"
"20","8922.933594","0.000000"
"21","8922.933594","0.000000"
"22","8922.933594","0.000000"
"23","8922.933594","0.000000"
"24","8922.933594","0.000000"
"25","8922.933594","0.000000"
"26","8922.933594","0.000000"
"27","8922.933594","0.000000"
"28","8922.933594","0.000000"
"29","8922.933594","0.000000"
"30","8922.933594","0.000000"
"31","8922.933594","0.000000"
"32","8922.933594","0.000000"
"33","8922.933594","0.000000"
"34","8922.933594","0.000000"
"35","8922.933594","0.000000"
"36","8922.933594","0.000000"
"37","8922.933594","0.000000"
"38","8922.933594","0.000000"
"39","8922.933594","0.000000"
"40","8922.933594","0.000000"
"41","8922.933594","0.000000"
"42","8922.933594","0.000000"
"43","8922.933594","0.000000"
"44","8922.933594","0.000000"
"45","8922.933594","0.000000"
"46","8922.933594","0.000000"
"47","8922.933594","0.000000"
"48","8922.933594","0.000000"
"49","8922.933594","0.000000"
"50","8922.933594","0.000000"
"51","8922.933594","0.000000"
"52","8922.933594","0.000000"
"53","8922.933594","0.000000"
"54","8922.933594","0.000000"
"55","8922.933594","0.000000"
"56","8922.933594","0.000000"
"57","8922.933594","0.000000"
"58","8922.933594","0.000000"
"59","8922.933594","0.000000"
"60","8922.933594","0.000000"
"61","8922.933594","0.000000"
"62","8922.933594","0.000000"
"63","8922.933594","0.000000"
"64","8922.933594","0.000000"
"65","8922.933594","0.000000"
"66","8922.933594","0.000000"
"67","8922.933594","0.000000"
"68","8922.933594","0.000000"
"69","8922.933594","0.000000"
"70","8922.933594","0.000000"
"71","8922.933594","0.000000"
"72","8922.933594","0.000000"
"73","8922.933594","0.000000"
"74","8922.933594","0.000000"
"75","8922.933594","0.000000"
"76","8922.933594","0.000000"
"77","8922.933594","0.000000"
"78","8922.933594","0.000000"
"79","8922.933594","0.000000"
"80","8922.933594","0.000000"
"81","8922.933594","0.000000"
"82","8922.933594","0.000000"
"83","8922.933594","0.000000"
"84","8922.933594","0.000000"
"85","8922.933594","0.000000"
"86","8922.933594","0.000000"
"87","8922.933594","0.000000"
"88","8922.933594","0.000000"
"89","8922.933594","0.000000"
"90","8922.933594","0.000000"
"91","8922.933594","0.000000"
"92","8922.933594","0.000000"
"93","8922.933594","0.000000"
"94","8922.933594","0.000000"
"95","8922.933594","0.000000"
"96","8922.933594","0.000000"
"97","8922.933594","0.000000"
"98","8922.933594","0.000000"
"99","8922.933594","0.000000"
"100","8922.933594","0.000000"
"101","8922.933594","0.000000"
"102","8922.933594","0.000000"
"103","8922.933594","0.000000"
"104","8922.933594","0.000000"
"105","8922.933594","0.000000"
"106","8922.933594","0.000000"
"107","8922.933594","0.000000"
"108","8922.933594","0.000000"
"109","8922.933594","0.000000"
"110","8922.933594","0.000000"
"111","8922.933594","0.000000"
"112","8922.933594","0.000000"
"113","8922.933594","0.000000"
"114","8922.933594","0.000000"
"115","8922.933594","0.000000"
"116","8922.933594","0.000000"
"117","8922.933594","0.000000"
"118","8922.933594","0.000000"
"119","8922.933594","0.000000"
"120","8922.933594","0.000000"
"121","8922.933594","0.000000"
"122","8922.933594","0.000000"
"123","8922.933594","0.000000"
"124","8922.933594","0.000000"
"125","8922.933594","0.000000"
"126","8922.933594","0.000000"
"127","8922.933594","0.000000"
"128","8922.933594","0.000000"
"129","8922.933594","0.000000"
"130","8922.933594","0.000000"
"131","8922.933594","0.000000"
"132","8922.933594","0.000000"
"133","8922.933594","0.000000"
"134","8922.933594","0.000000"
"135","8922.933594","0.000000"
"136","8922.933594","0.000000"
"137","8922.933594","0.000000"
"138","8922.933594","0.000000"
"139","8922.933594","0.000000"
"140","8922.933594","0.000000"
"141","8922.933594","0.000000"
"142","8922.933594","0.000000"
"143","8922.933594","0.000000"
"144","8922.933594","0.000000"
"145","8922.933594","0.000000"
"146","8922.933594","0.000000"
"147","8922.933594","0.000000"
"148","8922.933594","0.000000"
"149","8922.933594","0.000000"
"150","8922.933594","0.000000"
"151","8922.933594","0.000000"
"152","8922.933594","0.000000"
"153","8922.933594","0.000000"
"154","8922.933594","0.000000"
"155","8922.933594","0.000000"
"156","8922.933594","0.000000"
"157","8922.933594","0.000000"
"158","8922.933594","0.000000"
"159","8922.933594","0.000000"
"160","8922.933594","0.000000"
"161","8922.933594","0.000000"
"162","8922.933594","0.000000"
"163","8922.933594","0.000000"
"164","8922.933594","0.000000"
"165","8922.933594","0.000000"
"166","8922.933594","0.000000"
"167","8922.933594","0.000000"
"168","8922.933594","0.000000"
"169","8922.933594","0.000000"
"170","8922.933594","0.000000"
"171","8922.933594","0.000000"
"172","8922.933594","0.000000"
"173","8922.933594","0.000000"
"174","8922.933594","0.000000"
"175","8922.933594","0.000000"
"176","8922.933594","0.000000"
"177","8922.933594","0.000000"
"178","8922.933594","0.000000"
"179","8922.933594","0.000000"
"180","8922.933594","0.000000"
"181","8922.933594","0.000000"
"182","8922.933594","0.000000"
"183","8922.933594","0.000000"
"184","8922.933594","0.000000"
"185","8922.933594","0.000000"
"186","8922.933594","0.000000"
"187","8922.933594","0.000000"
"188","8922.933594","0.000000"
"189","8922.933594","0.000000"
"190","8922.933594","0.000000"
"191","8922.933594","0.000000"
"192","8922.933594","0.000000"
"193","8922.933594","0.000000"
"194","8922.933594","0.000000"
"195","8922.933594","0.000000"
"196","8922.933594","0.000000"
"197","8922.933594","0.000000"
"198","8922.933594","0.000000"
"199","8922.933594","0.000000"
"200","8922.933594","0.000000"
"201","8922.933594","0.000000"
"202","8922.933594","0.000000"
"203","8922.933594","0.000000"
"204","8922.933594","0.000000"
"205","8922.933594","0.000000"
"206","8922.933594","0.000000"
"207","8922.933594","0.000000"
"208","8922.933594","0.000000"
"209","8922.933594","0.000000"
"210","8922.933594","0.000000"
"211","8922.933594","0.000000"
"212","8922.933594","0.000000"
"213","8922.933594","0.000000"
"214","8922.933594","0.000000"
"215","8922.933594","0.000000"
"216","8922.933594","0.000000"
"217","8922.933594","0.000000"
"218","8922.933594","0.000000"
"219","8922.933594","0.000000"
"220","8922.933594","0.000000"
