"Step","Energy","Temperature"
"-1","8916.544922","0.000000"
"0","8916.544922","0.000000"
"1","8913.520508","0.000000"
"2","8913.520508","0.000000"
"3","8913.520508","0.000000"
"4","8913.520508","0.000000"
"5","8912.387695","0.000000"
"6","8912.387695","0.000000"
"7","8911.134766","0.000000"
"8","8911.134766","0.000000"
"9","8911.134766","0.000000"
"10","8911.134766","0.000000"
"11","8911.134766","0.000000"
"12","8911.134766","0.000000"
"13","8910.087891","0.000000"
"14","8910.087891","0.000000"
"15","8910.087891","0.000000"
"16","8910.087891","0.000000"
"17","8910.087891","0.000000"
"18","8910.087891","0.000000"
"19","8909.723633","0.000000"
"20","8909.723633","0.000000"
"21","8909.696289","0.000000"
"22","8909.696289","0.000000"
"23","8909.696289","0.000000"
"24","8909.696289","0.000000"
"25","8909.696289","0.000000"
"26","8909.696289","0.000000"
"27","8909.696289","0.000000"
"28","8909.166992","0.000000"
"29","8908.501953","0.000000"
"30","8908.501953","0.000000"
"31","8908.501953","0.000000"
"32","8908.490234","0.000000"
"33","8905.082031","0.000000"
"34","8905.082031","0.000000"
"35","8905.082031","0.000000"
"36","8905.082031","0.000000"
"37","8905.082031","0.000000"
"38","8905.082031","0.000000"
"39","8905.082031","0.000000"
"40","8905.082031","0.000000"
"41","8905.082031","0.000000"
"42","8905.082031","0.000000"
"43","8905.082031","0.000000"
"44","8905.082031","0.000000"
"45","8905.082031","0.000000"
"46","8905.082031","0.000000"
"47","8905.082031","0.000000"
"48","8905.082031","0.000000"
"49","8905.082031","0.000000"
"50","8905.082031","0.000000"
"51","8905.082031","0.000000"
"52","8905.082031","0.000000"
"53","8905.082031","0.000000"
"54","8905.082031","0.000000"
"55","8905.082031","0.000000"
"56","8905.082031","0.000000"
"57","8905.082031","0.000000"
"58","8905.082031","0.000000"
"59","8905.082031","0.000000"
"60","8905.082031","0.000000"
"61","8905.082031","0.000000"
"62","8905.082031","0.000000"
"63","8903.503906","0.000000"
"64","8903.503906","0.000000"
"65","8903.503906","0.000000"
"66","8903.503906","0.000000"
"67","8903.503906","0.000000"
"68","8903.503906","0.000000"
"69","8903.340820","0.000000"
"70","8902.770508","0.000000"
"71","8902.770508","0.000000"
"72","8902.750000","0.000000"
"73","8902.750000","0.000000"
"74","8902.750000","0.000000"
"75","8902.750000","0.000000"
"76","8902.730469","0.000000"
"77","8901.772461","0.000000"
"78","8901.772461","0.000000"
"79","8901.772461","0.000000"
"80","8900.699219","0.000000"
"81","8900.699219","0.000000"
"82","8900.699219","0.000000"
"83","8900.699219","0.000000"
"84","8900.699219","0.000000"
"85","8899.254883","0.000000"
"86","8899.254883","0.000000"
"87","8899.081055","0.000000"
"88","8899.081055","0.000000"
"89","8897.338867","0.000000"
"90","8897.338867","0.000000"
"91","8897.338867","0.000000"
"92","8897.338867","0.000000"
"93","8897.338867","0.000000"
"94","8897.338867","0.000000"
"95","8896.962891","0.000000"
"96","8893.008789","0.000000"
"97","8893.008789","0.000000"
"98","8893.008789","0.000000"
"99","8893.008789","0.000000"
"100","8893.008789","0.000000"
"101","8893.008789","0.000000"
"102","8893.008789","0.000000"
"103","8893.008789","0.000000"
"104","8893.008789","0.000000"
"105","8893.008789","0.000000"
"106","8893.008789","0.000000"
"107","8893.008789","0.000000"
"108","8893.008789","0.000000"
"109","8893.008789","0.000000"
"110","8893.008789","0.000000"
"111","8893.008789","0.000000"
"112","8893.008789","0.000000"
"113","8893.008789","0.000000"
"114","8893.008789","0.000000"
"115","8893.008789","0.000000"
"116","8893.008789","0.000000"
"117","8893.008789","0.000000"
"118","8893.008789","0.000000"
"119","8893.008789","0.000000"
"120","8893.008789","0.000000"
"121","8893.008789","0.000000"
"122","8893.008789","0.000000"
"123","8893.008789","0.000000"
"124","8893.008789","0.000000"
"125","8893.008789","0.000000"
"126","8893.008789","0.000000"
"127","8893.008789","0.000000"
"128","8893.008789","0.000000"
"129","8893.008789","0.000000"
"130","8893.008789","0.000000"
"131","8893.008789","0.000000"
"132","8893.008789","0.000000"
"133","8893.008789","0.000000"
"134","8893.008789","0.000000"
"135","8893.008789","0.000000"
"136","8893.008789","0.000000"
"137","8893.008789","0.000000"
"138","8893.008789","0.000000"
"139","8893.008789","0.000000"
"140","8893.008789","0.000000"
"141","8893.008789","0.000000"
"142","8893.008789","0.000000"
"143","8893.008789","0.000000"
"144","8893.008789","0.000000"
"145","8893.008789","0.000000"
"146","8893.008789","0.000000"
"147","8893.008789","0.000000"
"148","8893.008789","0.000000"
"149","8893.008789","0.000000"
"150","8893.008789","0.000000"
"151","8893.008789","0.000000"
"152","8893.008789","0.000000"
"153","8893.008789","0.000000"
"154","8893.008789","0.000000"
"155","8893.008789","0.000000"
"156","8893.008789","0.000000"
"157","8893.008789","0.000000"
"158","8893.008789","0.000000"
"159","8893.008789","0.000000"
"160","8893.008789","0.000000"
"161","8893.008789","0.000000"
"162","8893.008789","0.000000"
"163","8893.008789","0.000000"
"164","8893.008789","0.000000"
"165","8893.008789","0.000000"
"166","8893.008789","0.000000"
"167","8893.008789","0.000000"
"168","8893.008789","0.000000"
"169","8893.008789","0.000000"
"170","8893.008789","0.000000"
"171","8893.008789","0.000000"
"172","8892.319336","0.000000"
"173","8890.977539","0.000000"
"174","8890.977539","0.000000"
"175","8890.977539","0.000000"
"176","8890.977539","0.000000"
"177","8890.977539","0.000000"
"178","8890.977539","0.000000"
"179","8890.977539","0.000000"
"180","8890.977539","0.000000"
"181","8890.977539","0.000000"
"182","8890.977539","0.000000"
"183","8890.977539","0.000000"
"184","8890.977539","0.000000"
"185","8890.977539","0.000000"
"186","8890.964844","0.000000"
"187","8890.964844","0.000000"
"188","8890.964844","0.000000"
"189","8889.499023","0.000000"
"190","8889.499023","0.000000"
"191","8889.499023","0.000000"
"192","8889.499023","0.000000"
"193","8887.384766","0.000000"
"194","8887.384766","0.000000"
"195","8887.384766","0.000000"
"196","8887.384766","0.000000"
"197","8887.384766","0.000000"
"198","8887.384766","0.000000"
"199","8887.384766","0.000000"
"200","8887.384766","0.000000"
"201","8887.384766","0.000000"
"202","8887.384766","0.000000"
"203","8887.384766","0.000000"
"204","8887.384766","0.000000"
"205","8887.384766","0.000000"
"206","8887.384766","0.000000"
"207","8887.384766","0.000000"
"208","8887.384766","0.000000"
"209","8887.384766","0.000000"
"210","8885.582031","0.000000"
"211","8885.582031","0.000000"
"212","8885.582031","0.000000"
"213","8885.582031","0.000000"
"214","8885.582031","0.000000"
"215","8885.582031","0.000000"
"216","8885.582031","0.000000"
"217","8885.582031","0.000000"
"218","8885.582031","0.000000"
"219","8885.582031","0.000000"
"220","8885.582031","0.000000"
